,START_X,END_X,START_Y,END_Y
43,5424552.5915,5424552.6614,4193446.0101,4193442.9408
44,5422652.9791,5422658.5573,4190966.4386,4190960.7189
45,5433001.3086,5433000.241,4197010.5023,4197010.0973
46,5422670.4227,5422566.4083,4190981.6134,4191164.0815
47,5422567.1817,5422670.9995,4191165.0322,4190982.6958
48,5431706.2497,5431706.3308,4177912.1078,4177908.4296
49,5435589.3058,5435589.45,4181015.2023,4181008.4929
50,5427015.6591,5427015.7418,4177703.6945,4177700.0165
51,5393781.3544,5393734.8552,4209524.5535,4209567.7876
52,5422669.0879,5422570.3323,4190953.0885,4190995.5973
53,5431665.1411,5431703.9769,4178668.6392,4178665.8908
54,5422570.3323,5422454.3087,4190995.5973,4191018.4642
55,5433054.3614,5433054.4421,4178717.9565,4178714.2781
56,5422542.9139,5422572.8851,4191003.7929,4190996.2714
57,5431067.0827,5431320.2872,4178828.235,4178921.9787
58,5431067.3413,5431313.4727,4178828.4497,4178917.8348
59,5432639.457,5432639.5378,4178012.577,4178008.8988
60,5393780.2098,5393725.4433,4209522.3795,4209552.784
61,5349118.1024,5349076.5049,4227993.6171,4228039.8784
62,5422681.7756,5422670.9995,4190976.9027,4190982.6958
63,5422631.8782,5422596.3465,4191029.7721,4191155.4159
64,5431705.6204,5431699.7047,4178652.7852,4178663.5138
65,5431730.1853,5431724.2698,4178666.4526,4178677.1811
66,5431702.9088,5431708.784,4178665.2964,4178654.5453
67,5431722.1337,5431728.0492,4178675.9927,4178665.264
68,5422531.79,5422660.0419,4191107.7445,4190962.1289
69,5433203.809,5433230.5419,4179619.1964,4179681.1301
70,5390258.8649,5390301.6485,4240139.2022,4240138.1135
71,5432204.0814,5432204.1492,4178484.998,4178481.3191
72,5433877.2655,5433877.413,4178088.363,4178081.6535
73,5422669.6647,5422572.8851,4190954.171,4190996.2714
74,5422681.1989,5422670.4227,4190975.8202,4190981.6134
75,5431709.8926,5431703.9769,4178655.1621,4178665.8908
76,5431699.7801,5431725.3378,4178703.7588,4178677.7754
77,5431692.151,5431701.8408,4178608.9398,4178664.7022
78,5433065.7382,5433001.3086,4197034.9445,4197010.5023
79,5433462.7556,5433462.8948,4178837.3111,4178830.6263
80,5432203.9338,5432204.0814,4178491.7049,4178484.998
81,5349092.379,5349119.163,4228044.9837,4227994.2347
82,5422668.5112,5422657.7351,4190952.006,4190957.7991
83,5422670.8181,5422660.0419,4190956.3358,4190962.1289
84,5422671.3947,5422660.6186,4190957.4183,4190963.2114
85,5431729.1173,5431723.2017,4178665.8582,4178676.5869
86,5431732.3214,5431726.4058,4178667.641,4178678.3696
87,5431693.1706,5431723.2017,4178702.0984,4178676.5869
88,5431694.2373,5431724.2698,4178702.6953,4178677.1811
89,5354072.229,5354073.5963,4236006.5248,4236009.2279
90,5435253.6254,5435185.9751,4180831.0994,4180801.4488
91,5431707.077,5431702.9088,4178616.4197,4178665.2964
92,5422669.846,5422558.9436,4190980.5309,4191151.3277
93,5422672.7295,5422711.7187,4190985.9432,4190993.0161
94,5422672.1529,5422626.9743,4190984.8607,4191045.9935
95,5390258.7702,5390302.6227,4240139.4038,4240138.5081
96,5433211.4772,5433197.5949,4179242.8765,4179289.4697
