,START_X,END_X,START_Y,END_Y
86,5427046.3159,5427042.5587,4188732.2968,4188733.701
87,5397586.1906,5397586.1339,4194519.9394,4194521.5394
88,5380069.0762,5380064.2702,4222806.6179,4222807.7811
89,5430844.5898,5430849.7915,4173082.5764,4173081.1102
90,5428033.7107,5428032.2338,4187371.4839,4187368.6723
91,5398073.1621,5398070.0644,4206638.7276,4206641.1636
92,5433057.8833,5433057.635,4178514.0718,4178516.7744
93,5419297.2892,5419294.4568,4204362.305,4204362.2265
94,5432704.9518,5432701.247,4177790.3201,4177789.3409
95,5389426.953,5389427.2203,4210834.2781,4210832.3438
96,5399100.3119,5399099.5606,4198782.4969,4198780.6464
97,5437953.5416,5437953.4154,4184343.0121,4184342.1286
98,5424246.6214,5424252.2592,4173808.2465,4173808.3387
99,5401036.6271,5401037.0388,4195184.205,4195183.0325
100,5429091.0184,5429092.5908,4196230.8552,4196226.0136
101,5429379.8054,5429381.7923,4196558.1142,4196555.6475
102,5421857.5949,5421864.3299,4186063.8144,4186065.7156
103,5389994.8935,5389995.4484,4237316.5715,4237309.6148
104,5375770.6687,5375774.3024,4206235.3743,4206234.7699
105,5378764.7155,5378764.8626,4204663.1188,4204663.8494
106,5425072.0093,5425072.2972,4191988.9437,4191988.0543
107,5420119.1476,5420119.1926,4170976.8459,4170973.2863
108,5421337.213,5421337.9138,4172297.0065,4172296.1652
109,5429281.3099,5429281.6007,4175060.7572,4175059.8024
110,5435067.6267,5435068.193,4189266.9575,4189266.3215
111,5424465.2783,5424465.9208,4197241.0923,4197240.0935
112,5435532.8773,5435531.8703,4189008.272,4189008.8885
113,5427788.6874,5427789.3892,4174781.0523,4174781.3978
114,5433740.1816,5433739.7163,4178689.0839,4178688.4169
115,5432036.1352,5432035.4983,4177626.8539,4177626.362
116,5404269.4978,5404268.9087,4217863.0663,4217862.2545
117,5430953.5657,5430954.1567,4172281.2003,4172280.5108
118,5391092.4027,5391091.8225,4231655.9402,4231655.928
119,5402542.1516,5402543.088,4228976.6721,4228976.5025
120,5389825.0213,5389826.237,4197074.6257,4197074.2377
121,5343883.8459,5343884.9336,4235905.9738,4235906.4649
122,5425517.9244,5425518.1123,4172727.827,4172727.2098
123,5379403.8098,5379404.1403,4231008.358,4231008.0524
124,5379565.2707,5379565.084,4230673.6984,4230672.839
125,5375659.2647,5375658.8651,4203692.8366,4203692.0518
126,5420919.9229,5420920.1898,4203239.076,4203238.8002
127,5385170.2947,5385169.6469,4213234.0484,4213233.2369
128,5409983.9708,5409983.584,4214923.1161,4214923.5377
129,5422325.2205,5422325.4698,4172235.4478,4172234.7479
130,5423472.2664,5423477.699,4171902.5169,4171898.2773
131,5439882.5475,5439882.9806,4179509.8653,4179508.8901
132,5439629.9576,5439630.2848,4179765.786,4179765.7612
133,5440193.5729,5440192.9786,4182358.6195,4182358.2376
134,5367808.6305,5367808.1729,4192157.5056,4192158.1513
135,5422790.1961,5422789.832,4173764.6869,4173764.5746
136,5426118.3761,5426119.3811,4190966.3495,4190965.8772
137,5380927.1501,5380928.0792,4241303.0339,4241302.4541
138,5379289.2998,5379289.997,4241858.3088,4241858.5764
139,5422416.9738,5422416.0312,4173862.2157,4173861.5767
140,5417914.4036,5417914.3344,4172373.1326,4172371.9983
141,5418101.8646,5418101.5411,4172341.9784,4172343.0671
