,START_X,END_X,START_Y,END_Y
85,5390610.0818,5390586.7793,4195922.505,4196014.446
86,5390540.1729,5390516.8691,4196198.3302,4196290.2733
87,5372685.7444,5372703.0755,4223735.9448,4223806.097
88,5372720.4066,5372737.7382,4223876.2495,4223946.4025
89,5372755.0698,5372772.4016,4224016.5558,4224086.7098
90,5372678.2659,5372622.5315,4224219.6509,4224251.044
91,5363958.5798,5363988.6024,4221312.2746,4221386.0233
92,5364198.7715,5364227.886,4221902.2764,4221970.6942
93,5364431.6972,5364460.8144,4222449.6288,4222518.0495
94,5364460.8144,5364472.938,4222518.0495,4222594.9466
95,5364512.5787,5364491.599,4223057.8975,4223136.356
96,5390443.4955,5390418.3676,4196699.933,4196772.9937
97,5390486.3396,5390450.6237,4196793.1959,4196850.0091
98,5351872.6049,5351828.1388,4223342.9416,4223395.8018
99,5352168.5,5352184.3958,4223244.6043,4223171.069
100,5352232.0818,5352247.9766,4222950.4657,4222876.9322
101,5352263.8712,5352279.7656,4222803.3991,4222729.8665
102,5385884.2809,5385799.6644,4193425.8974,4193449.3259
103,5385799.6644,5385715.0477,4193449.3259,4193472.7539
104,5384426.4214,5384341.6882,4193242.8373,4193217.5292
105,5440285.5061,5440363.3089,4183618.0642,4183665.1466
106,5440363.3089,5440441.1124,4183665.1466,4183712.2287
107,5440537.1083,5440585.1055,4183603.0151,4183548.4084
108,5440722.0624,5440749.8124,4183887.6309,4183904.1816
109,5352873.781,5352901.2657,4220878.6925,4220802.5602
110,5363943.1548,5363918.824,4224905.652,4224985.2578
111,5369801.6134,5369830.597,4217761.6741,4217830.4489
112,5369830.597,5369859.581,4217830.4489,4217899.2242
113,5370062.4786,5370091.4653,4218380.6613,4218449.4395
114,5390160.8864,5390113.6746,4193819.2359,4193800.8078
115,5390066.463,5389991.369,4193782.3794,4193754.625
116,5389991.369,5389916.2755,4193754.625,4193726.8701
117,5389008.83,5388924.7463,4193403.0286,4193373.231
118,5373181.478,5373229.2,4224821.7477,4224879.7303
119,5373674.2166,5373727.1089,4225394.9035,4225450.6619
120,5373727.1089,5373780.0018,4225450.6619,4225506.4203
121,5373780.0018,5373832.8952,4225506.4203,4225562.1789
122,5422056.5092,5422042.8297,4172350.2815,4172290.2992
123,5422014.4468,5421986.0641,4172232.8383,4172175.3776
124,5421986.0641,5421957.6817,4172175.3776,4172117.917
125,5413355.5001,5413321.9516,4209657.5593,4209712.1064
126,5408495.6382,5408537.0966,4208887.0475,4208818.5686
127,5408675.9931,5408731.9737,4208635.2592,4208588.9068
128,5408937.0862,5408974.2593,4208392.404,4208334.9592
129,5408974.2593,5409011.4319,4208334.9592,4208277.5147
130,5429833.0415,5429763.086,4178130.8919,4178105.403
131,5429623.1759,5429553.2213,4178054.4239,4178028.9339
132,5429413.3133,5429343.3597,4177977.9526,4177952.4614
133,5428933.8959,5428867.8767,4177739.3537,4177703.0762
134,5426041.0977,5425984.5091,4175976.8565,4175941.6374
135,5425548.6781,5425524.5648,4176102.1812,4176169.6989
136,5425743.4416,5425684.9506,4175803.6945,4175767.847
137,5425237.6468,5425189.4644,4175495.1271,4175466.3111
138,5425026.4838,5425013.9472,4175600.9235,4175669.3146
139,5424568.5914,5424633.7252,4186308.0001,4186345.7066
140,5425009.0072,5425023.5949,4175833.5392,4175836.3253
141,5424581.5802,5424523.0252,4175108.0908,4175075.3918
142,5424405.9163,5424347.3624,4175009.9926,4174977.2928
143,5424004.2975,5423942.7996,4174755.6728,4174722.1742
144,5423819.8049,5423758.3081,4174655.1762,4174621.6769
145,5423645.0568,5423670.9343,4174663.0175,4174625.5974
146,5422957.19,5422913.5889,4173921.6739,4173844.2373
147,5422655.4239,5422622.9241,4173389.8201,4173329.7567
148,5422460.4302,5422425.3338,4173029.4431,4172971.8245
149,5424495.015,5424561.8363,4191638.8422,4191644.0801
150,5419943.3537,5419901.2569,4171057.3336,4171123.1633
151,5419901.2569,5419859.1597,4171123.1633,4171188.9932
152,5419702.0042,5419650.8938,4170675.3735,4170636.1812
153,5418942.6326,5418888.3842,4170257.1575,4170231.0233
154,5418779.8879,5418725.6404,4170178.7543,4170152.6196
155,5420429.7247,5420399.376,4195414.9537,4195479.1122
156,5419249.361,5419193.4886,4193393.3057,4193413.6779
157,5416728.1263,5416665.7161,4194589.8274,4194643.6291
158,5415247.2458,5415266.0155,4195505.1964,4195597.3235
159,5418070.6191,5418012.3045,4169889.0883,4169913.0524
160,5417562.5354,5417612.4751,4170345.8093,4170402.1436
161,5412121.2812,5412048.5222,4194950.2515,4194975.5239
162,5411757.483,5411684.7224,4195076.6087,4195101.8788
163,5420282.0334,5420323.2211,4194324.5442,4194394.2981
164,5420144.3373,5420084.7085,4194500.0078,4194535.2438
165,5419846.1902,5419786.5597,4194676.186,4194711.421
166,5419786.5597,5419726.9288,4194711.421,4194746.6556
167,5420459.6075,5420481.9515,4194630.8866,4194722.3143
168,5419838.8647,5419881.7577,4195047.9832,4195114.507
169,5418035.3669,5417967.5251,4193860.326,4193885.342
170,5417899.683,5417831.8406,4193910.3575,4193935.3727
171,5412226.4076,5412163.0953,4207057.9152,4207017.6476
172,5427309.775,5427253.8391,4176732.1377,4176694.6888
173,5405785.8425,5405863.0369,4185467.1957,4185450.0725
174,5423120.2504,5423123.3364,4191665.9127,4191653.0249
175,5423123.3364,5423171.1448,4191653.0249,4191598.9496
176,5423309.3015,5423314.4419,4191467.8589,4191456.9245
177,5402853.7066,5402932.9257,4189736.2068,4189755.6167
178,5403383.9824,5403404.524,4189096.0783,4189018.931
179,5406408.8388,5406488.755,4185335.1026,4185320.4286
180,5406488.755,5406568.6711,4185320.4286,4185305.7542
181,5407294.1994,5407375.6871,4185222.8297,4185220.4424
182,5367082.5183,5366994.6944,4215637.922,4215667.8417
183,5366994.6944,5366906.8702,4215667.8417,4215697.7608
184,5403639.6905,5403705.9211,4188536.5203,4188488.1794
185,5403970.8379,5404037.0657,4188294.8129,4188246.4707
186,5404910.573,5404963.7007,4185527.8323,4185469.0022
187,5419365.613,5419366.5046,4201027.0161,4200936.0799
188,5419367.3962,5419291.6577,4200845.1444,4200839.6792
189,5418624.9505,5418626.388,4200937.0878,4201043.3202
190,5368016.9984,5368086.4396,4215543.3258,4215574.8201
191,5422840.9754,5422774.519,4176070.7631,4176058.1932
192,5422774.519,5422746.6767,4176058.1932,4176047.7451
193,5422573.2712,5422499.2406,4175301.7779,4175293.2022
194,5421243.4653,5421214.3336,4176094.738,4175998.8102
195,5421214.3336,5421171.7009,4175998.8102,4175941.4062
196,5421301.7298,5421214.7794,4176286.5958,4176298.07
197,5430510.3095,5430441.1317,4178362.8471,4178338.4386
198,5374306.8311,5374358.6653,4226062.5274,4226117.5463
199,5374820.2612,5374821.6478,4226613.8141,4226688.5032
200,5397377.6677,5397460.8153,4181839.1391,4181851.8835
201,5397543.9629,5397627.1108,4181864.6273,4181877.3704
202,5397211.3735,5397294.5205,4181813.6487,4181826.3943
203,5420314.1998,5420265.7989,4192958.2826,4192983.2191
204,5419840.3558,5419790.3827,4193173.0754,4193192.4801
205,5419790.3827,5419740.4094,4193192.4801,4193211.8847
206,5419804.5944,5419845.6285,4193512.9725,4193578.543
207,5416704.4705,5416728.1263,4194520.8842,4194589.8274
